clientnum,attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_1,naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_2,log_credit_limit,log_total_trans_amt,log_avg_utilization_ratio,log_total_trans_ct
768805383,-1.0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,9.3448e-05,0.99991,9.448727152703086,7.0431599159883405,0.05921185963184609,3.7612001156935624
818770008,-1.0,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,5.6861e-05,0.99994,9.01881660441743,7.163946684342547,0.09984533496971613,3.5263605246161616
713982108,-1.0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,2.1081e-05,0.99998,8.137103389639302,7.543273346705446,0.0,3.044522437723423
769911858,-1.0,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0.00013366,0.99987,8.105911197986508,7.066466970136958,0.5653138090500605,3.044522437723423
709106358,-1.0,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,2.1676e-05,0.99998,8.458928283284262,6.705639094860003,0.0,3.367295829986474
713061558,-1.0,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,5.5077e-05,0.99994,8.296795865770052,6.9930151229329605,0.2707902047815628,3.2188758248682006
710930508,-1.0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,4.4796e-05,0.99996,10.014715819221838,7.208600337960199,0.10705907229340779,3.2188758248682006
719661558,-1.0,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0.00030251,0.9997,9.363662136919832,7.273786317844895,0.13453089295760615,3.4965075614664802
708790833,-1.0,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0.00019094,0.99981,8.817149624743406,7.091742115095153,0.19638881400539013,3.7612001156935624
710821833,-1.0,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0.00019751,0.9998,9.115590035430372,7.181591944611865,0.1604167214059047,3.295836866004329
